id;name;phone_number;address;email;city_id
1;MKM;011234567;Skadarska 12;mkm@gmail.com;1
2;Brepo;02345780;Horevar 234;brp@gmail.com;3
3;Skuli;09878908;Stileto 45;skuli@skuli.com;4
4;KMLN;09878987;Toluga 221;kmln@blll.com;2
5;Almama;09023090;Dreklins 567;almama@alm.com;3
6;TVC;011456789;Kumodraska 34;tvc@yahoo.com;1
7;Kli-Kli;011290890;Vladetina 2;klikli@kli.com;1
8;Benn Boo;09898989;Skinser 34;bboo@bennboo.com;4
9;Blabla;034729279478;Drimenklik 67;blabla@bla.com;2
10;Kafa-fa;011564534;Ovde 23;kafafa@gmail.com;1
